Node Name,Op Type,Activation,Weights,Bias
/model.22/cv2.1/cv2.1.0/act/Mul,Mul,BFLOAT16,,
/model.22/cv3.1/cv3.1.0/act/Mul,Mul,BFLOAT16,,
/model.20/Concat,Concat,BFLOAT16,,
/model.22/cv2.1/cv2.1.1/conv/Conv,Conv,BFLOAT16,BFLOAT16,BFLOAT16
/model.22/cv3.1/cv3.1.1/conv/Conv,Conv,BFLOAT16,BFLOAT16,BFLOAT16
/model.21/cv1/conv/Conv,Conv,BFLOAT16,BFLOAT16,BFLOAT16
/model.22/cv2.1/cv2.1.1/act/Sigmoid,Sigmoid,BFLOAT16,,
/model.22/cv3.1/cv3.1.1/act/Sigmoid,Sigmoid,BFLOAT16,,
/model.21/cv1/act/Sigmoid,Sigmoid,BFLOAT16,,
/model.22/cv2.1/cv2.1.1/act/Mul,Mul,BFLOAT16,,
/model.22/cv3.1/cv3.1.1/act/Mul,Mul,BFLOAT16,,
/model.21/cv1/act/Mul,Mul,BFLOAT16,,
/model.22/cv2.1/cv2.1.2/Conv,Conv,BFLOAT16,BFLOAT16,BFLOAT16
/model.22/cv3.1/cv3.1.2/Conv,Conv,BFLOAT16,BFLOAT16,BFLOAT16
/model.21/Split_output_0_0,Slice,BFLOAT16,,
/model.21/Split_output_1_1,Slice,BFLOAT16,,
/model.22/Concat_1,Concat,BFLOAT16,,
/model.21/m.0/cv1/conv/Conv,Conv,BFLOAT16,BFLOAT16,BFLOAT16
/model.22/Reshape_1,Reshape,BFLOAT16,,
/model.21/m.0/cv1/act/Sigmoid,Sigmoid,BFLOAT16,,
/model.21/m.0/cv1/act/Mul,Mul,BFLOAT16,,
/model.21/m.0/cv2/conv/Conv,Conv,BFLOAT16,BFLOAT16,BFLOAT16
/model.21/m.0/cv2/act/Sigmoid,Sigmoid,BFLOAT16,,
/model.21/m.0/cv2/act/Mul,Mul,BFLOAT16,,
/model.21/Concat,Concat,BFLOAT16,,
/model.21/cv2/conv/Conv,Conv,BFLOAT16,BFLOAT16,BFLOAT16
/model.21/cv2/act/Sigmoid,Sigmoid,BFLOAT16,,
/model.21/cv2/act/Mul,Mul,BFLOAT16,,
/model.22/cv2.2/cv2.2.0/conv/Conv,Conv,BFLOAT16,BFLOAT16,BFLOAT16
/model.22/cv3.2/cv3.2.0/conv/Conv,Conv,BFLOAT16,BFLOAT16,BFLOAT16
/model.22/cv2.2/cv2.2.0/act/Sigmoid,Sigmoid,BFLOAT16,,
/model.22/cv3.2/cv3.2.0/act/Sigmoid,Sigmoid,BFLOAT16,,
/model.22/cv2.2/cv2.2.0/act/Mul,Mul,BFLOAT16,,
/model.22/cv3.2/cv3.2.0/act/Mul,Mul,BFLOAT16,,
/model.22/cv2.2/cv2.2.1/conv/Conv,Conv,BFLOAT16,BFLOAT16,BFLOAT16
/model.22/cv3.2/cv3.2.1/conv/Conv,Conv,BFLOAT16,BFLOAT16,BFLOAT16
/model.22/cv2.2/cv2.2.1/act/Sigmoid,Sigmoid,BFLOAT16,,
/model.22/cv3.2/cv3.2.1/act/Sigmoid,Sigmoid,BFLOAT16,,
/model.22/cv2.2/cv2.2.1/act/Mul,Mul,BFLOAT16,,
/model.22/cv3.2/cv3.2.1/act/Mul,Mul,BFLOAT16,,
/model.22/cv2.2/cv2.2.2/Conv,Conv,BFLOAT16,BFLOAT16,BFLOAT16
/model.22/cv3.2/cv3.2.2/Conv,Conv,BFLOAT16,BFLOAT16,BFLOAT16
/model.22/Concat_2,Concat,BFLOAT16,,
/model.22/Reshape_2,Reshape,BFLOAT16,,
/model.22/Concat_3,Concat,BFLOAT16,,
/model.22/Split_output_0_0,Slice,BFLOAT16,,
/model.22/Split_output_1_1,Slice,BFLOAT16,,
/model.22/dfl/Reshape,Reshape,BFLOAT16,,
/model.22/Sigmoid,Sigmoid,BFLOAT16,,
/model.22/dfl/Transpose,Transpose,BFLOAT16,,
/model.22/dfl/Softmax,Softmax,BFLOAT16,,
/model.22/dfl/conv/Conv,Conv,BFLOAT16,BFLOAT16,
/model.22/dfl/Reshape_1,Reshape,BFLOAT16,,
/model.22/Slice,Slice,BFLOAT16,,
/model.22/Slice_1,Slice,BFLOAT16,,
/model.22/Sub,Sub,BFLOAT16,,
/model.22/Add_1,Add,BFLOAT16,,
/model.22/Add_2,Add,BFLOAT16,,
/model.22/Sub_1,Sub,BFLOAT16,,
/model.22/Div_1,Div,BFLOAT16,,
/model.22/Concat_4,Concat,BFLOAT16,,
/model.22/Mul_2,Mul,BFLOAT16,,
/model.22/Concat_5,Concat,BFLOAT16,,

Op Type,Activation,Weights,Bias
Conv,BFLOAT16(64),BFLOAT16(64),BFLOAT16(63)
Sigmoid,BFLOAT16(58),,
Mul,BFLOAT16(58),,
Slice,BFLOAT16(20),,
Add,BFLOAT16(8),,
Concat,BFLOAT16(19),,
MaxPool,BFLOAT16(3),,
Resize,BFLOAT16(2),,
Reshape,BFLOAT16(5),,
Transpose,BFLOAT16(1),,
Softmax,BFLOAT16(1),,
Sub,BFLOAT16(2),,
Div,BFLOAT16(1),,
